impl,n,threads,inplace,plan,seed,iters,sec,sec_per_iter,gflops,plan_sec,checksum
fftw,16777216,1,0,estimate,1,2,0.542975878,2.714879390e-01,7.415674,0.001267060,8387412.208752
fftw,16777216,2,0,estimate,1,2,0.376855682,1.884278410e-01,10.684546,0.001580518,8387412.208752
fftw,16777216,4,0,estimate,1,4,0.380028328,9.500708200e-02,21.190693,0.002056892,8387412.208752
fftw,16777216,8,0,estimate,1,8,0.517157418,6.464467725e-02,31.143568,0.002994792,8387412.208752
fftw,16777216,16,0,estimate,1,8,0.491406144,6.142576800e-02,32.775592,0.004886818,8387412.208752
fftw,16777216,24,0,estimate,1,8,0.307667944,3.845849300e-02,52.349059,0.025633326,8387412.208752
