impl,n,threads,inplace,plan,seed,iters,sec,sec_per_iter,gflops,plan_sec,checksum,rel_l2,max_abs
fftw,1048576,8,0,estimate,1,1,0.006160228,6.160228000e-03,17.021708,0.002180120,524410.208363,nan,nan
ours,1048576,8,0,estimate,1,1,0.046701328,4.670132800e-02,2.245281,0.028245296,4067574.241010,1.024000e+03,2.196210e+06
