impl,n,threads,sec_per_iter,gflops,cycles_per_fft,instr_per_fft,ipc,cache_misses_per_fft,LLC_load_misses_per_fft,dTLB_load_misses_per_fft,cache_miss_rate
fftw,65536,1,0.0001878440752,27.910808,3476845.951171875,6551052.823730469,1.884194156350939,5131.95166015625,24.06884765625,468.0771484375,0.08803777554616031
fftw,65536,2,0.0001133179063,46.267004,2906356.51953125,5327653.296630859,1.8331038400925868,3697.29443359375,1.506103515625,345.187255859375,0.05068462618982145
fftw,65536,4,6.911636792e-05,75.855838,3478155.3688964844,6040915.203613281,1.736815801167009,91.257568359375,0.8984375,37.0789794921875,0.0011890976871803283
fftw,65536,8,4.453810352e-05,117.716732,3863983.6259765625,6335436.888183594,1.6396127679196388,43.7213134765625,0.66064453125,35.2637939453125,0.00043933935921163696
fftw,65536,16,6.255416211e-05,83.813448,7795617.7646484375,9344477.884277344,1.1986834355389608,49.862548828125,1.2056884765625,57.2738037109375,0.00028362538190687746
fftw,65536,24,0.0003181259395,16.480517,13323669.993164062,12285478.079101562,0.922079133257191,425.4951171875,14.6357421875,5546.609375,0.001263117091383714
fftw,262144,1,0.001367514719,17.252436,14263078.6484375,22216484.07421875,1.557621928744853,1372.703125,289.6875,1353.69921875,0.001148145987900013
fftw,262144,2,0.0006952448164,33.934751,19231159.974609375,27875672.4921875,1.4495055175554334,8431.328125,44.759765625,1767.07421875,0.009351665874504056
fftw,262144,4,0.0003570108594,66.084712,15487831.87890625,23759365.93359375,1.534066622065608,4180.923828125,23.708984375,1410.15625,0.005223768775204141
fftw,262144,8,0.0001975048887,119.455068,18859093.731445312,27139831.913085938,1.439084629386696,491.40576171875,11.2724609375,1177.64794921875,0.0005466053042220821
fftw,262144,16,0.0002141371221,110.17688,39004343.908691406,39443515.09863281,1.0112595456282896,277.60107421875,16.00244140625,44047.56494140625,0.00020453126583209523
fftw,262144,24,0.0002175148076,108.465995,48715250.4140625,45048658.60449219,0.9247342099567266,496.9375,33.1103515625,63251.3232421875,0.000300065825708088
fftw,1048576,1,0.01029824938,10.18208,105805610.875,256094518.3125,2.4204247411326145,680659.1875,310679.03125,24221.5625,0.1091843108983092
fftw,1048576,2,0.006442071219,16.277001,176300483.453125,296366711.09375,1.6810317549273672,930146.734375,404846.375,340326.078125,0.1965954796718376
fftw,1048576,4,0.003046921969,34.414272,168205647.40625,332902292.765625,1.9791386192973648,607386.25,236900.4609375,629148.0234375,0.09096571484345166
fftw,1048576,8,0.001455629578,72.035909,170342981.24609375,352613842.67578125,2.0700227276541647,351147.8984375,163596.8203125,686677.6875,0.046352453025091056
fftw,1048576,16,0.001673425398,62.660457,317907373.953125,486356282.0234375,1.5298678856538572,401573.66796875,175299.3671875,1878437.85546875,0.038161567089145004
fftw,1048576,24,0.0009486945938,110.528299,235935246.11132812,182598073.78320312,0.7739330040457059,471471.666015625,170294.919921875,1965350.033203125,0.06686304299305298
fftw,4194304,1,0.034237877,13.475527,707239236.0,1801518206.75,2.547254330711369,7199123.25,376993.5,1246859.0,0.2666388038393219
fftw,4194304,2,0.0326208465,14.143515,920576215.25,2070340679.25,2.2489617317429382,9617075.5,1820052.25,1206143.25,0.28952910569565843
fftw,4194304,4,0.0195346505,23.618208,792433493.0,1731461439.75,2.184992753391861,7540818.125,1871690.625,928384.875,0.2836822351283426
fftw,4194304,8,0.01422023375,32.444856,1038328712.0,1978586704.25,1.9055494482464046,7856556.875,2113845.75,1456864.375,0.27961340652319494
fftw,4194304,16,0.01683194325,27.410587,1423810418.75,2437098620.5,1.7116735405262675,10316932.875,1549020.75,2675843.875,0.27352632870762533
fftw,4194304,24,0.016226037,28.434142,4907979592.5,1382307704.75,0.2816449577056794,31112593.125,8467725.625,201507.625,0.38593385401944486
fftw,16777216,1,0.174553816,11.533783,2342801272.0,6133486767.0,2.6180141014538427,28455922.0,2224469.0,8523395.0,0.35435613043140735
fftw,16777216,2,0.15387549,13.083734,4712331414.0,8357592736.0,1.773557927434855,37941160.0,8547608.0,9420162.0,0.32377251407806296
fftw,16777216,4,0.091236022,22.066568,4130402288.0,7753997462.5,1.87729836510782,50688555.5,8789951.5,9109484.0,0.4212514095526611
fftw,16777216,8,0.063917174,31.498043,5174651088.0,7932923212.0,1.5330353828872492,45556202.5,9870994.0,10502266.0,0.4019945613261349
fftw,16777216,16,0.073376664,27.437414,7831020547.0,10691709542.0,1.3653021950115949,67679580.5,11701224.0,14429414.0,0.4662156633617686
fftw,16777216,24,0.096144013,20.940107,28721977870.5,6431289858.5,0.22391528492560747,186326119.5,53370831.5,3706818.0,0.5478958080954569
fftw,67108864,1,1.091829074,7.990401,20816627918.0,34914363505.0,1.677234355272776,314069640.0,27668269.0,38996524.0,0.376163800535641
fftw,67108864,2,0.630044268,13.846888,20944201770.0,42457556428.0,2.0271747233076813,214037607.0,31788685.0,46352954.0,0.2480573297726193
fftw,67108864,4,0.381241152,22.883554,20043564736.0,33652739135.0,1.6789797412910654,268335148.0,34806212.0,36932970.0,0.41278590938727033
fftw,67108864,8,0.303516552,28.74358,24511404600.0,34477398515.0,1.4065859985437146,270678142.0,38354810.0,41723559.0,0.4338457531682013
fftw,67108864,16,0.25993384,33.562972,36590302569.0,42429210949.0,1.1595752964597466,343441080.0,44930898.0,56530155.0,0.4077364102949696
fftw,67108864,24,0.428486652,20.360383,138887185044.0,56140284978.0,0.404215010623295,935173433.0,233447330.0,45114785.0,0.6051928925331279
ours,65536,1,0.007172966188,0.730922,74535187.328125,321291478.515625,4.31060134190324,1733.484375,90.203125,62.953125,0.011627312272823407
