impl,n,threads,sec_per_iter,gflops,cycles_per_fft,instr_per_fft,ipc,cache_misses_per_fft,LLC_load_misses_per_fft,dTLB_load_misses_per_fft,cache_miss_rate
a1,16777216,8,0.103971966,19.363546,16264677106.0,21853958137.0,1.3436453730113171,79248088.0,6055645.0,598758.0,0.848507199454818
a1,67108864,8,0.432443668,20.174078,59902645151.0,92615671592.0,1.5461032039326212,327107487.0,28004609.0,2128104.0,0.7903055464164055
fftw,16777216,8,0.250576036,8.034551,6196940331.0,5961073757.0,0.9619382208958694,85749549.0,23674570.0,41994069.0,0.47013314240618864
fftw,67108864,8,1.476055088,5.910452,38518300078.0,29856978651.0,0.7751374954382534,523892092.0,154827636.0,172722523.0,0.4690161029526065
