impl,n,threads,inplace,plan,seed,iters,sec,sec_per_iter,gflops,plan_sec,checksum
fftw,16777216,1,0,estimate,1,1,0.300339338,3.003393380e-01,6.703304,0.001288188,8387412.208752
fftw,16777216,2,0,estimate,1,2,0.371026128,1.855130640e-01,10.852421,0.001576042,8387412.208752
fftw,16777216,4,0,estimate,1,4,0.407476046,1.018690115e-01,19.763281,0.002030124,8387412.208752
fftw,16777216,8,0,estimate,1,8,0.460168360,5.752104500e-02,35.000510,0.002995668,8387412.208752
fftw,16777216,16,0,estimate,1,8,0.459931124,5.749139050e-02,35.018564,0.004920338,8387412.208752
