impl,n,threads,cpu_atom/LLC-load-misses/,cpu_atom/LLC-loads/,cpu_atom/cache-misses/,cpu_atom/cache-references/,cpu_atom/cycles/,cpu_atom/dTLB-load-misses/,cpu_atom/dTLB-loads/,cpu_atom/instructions/,cpu_core/LLC-load-misses/,cpu_core/LLC-loads/,cpu_core/cache-misses/,cpu_core/cache-references/,cpu_core/cycles/,cpu_core/dTLB-load-misses/,cpu_core/dTLB-loads/,cpu_core/instructions/
fftw,16777216,1,,,,,,,,,33738242.0,89202163.0,96273572.0,235816977.0,6468623496.0,83135632.0,2895162225.0,9953050738.0
fftw,16777216,16,369.0,243446485.0,282064087.0,387048086.0,41328424222.0,229704885.0,8778115531.0,22527959744.0,278532605.0,424128377.0,583635071.0,921985838.0,53886530135.0,359940279.0,13385074448.0,43846393543.0
fftw,16777216,2,0.0,34732125.0,31220724.0,79173194.0,3430891093.0,30355010.0,487125182.0,1209467309.0,50359814.0,87303743.0,89249867.0,153117674.0,8300245811.0,82311008.0,2897131049.0,9958085496.0
fftw,16777216,24,112.0,246022057.0,281064374.0,426595814.0,42027351224.0,218448853.0,11774863031.0,30938722555.0,166950509.0,319049227.0,414270220.0,701108964.0,57389090759.0,116278706.0,11212394667.0,37848542846.0
fftw,16777216,4,16990.0,7997089.0,23169260.0,29992939.0,2820377559.0,5029332.0,547536652.0,2881889752.0,90565343.0,177028419.0,196723444.0,383738867.0,14868639183.0,160631273.0,5613607641.0,18583905972.0
fftw,16777216,8,24.0,154425801.0,118389793.0,265910868.0,23061277196.0,147435161.0,5529884964.0,14219532837.0,235958305.0,363736692.0,412553670.0,647709820.0,36129033764.0,324465091.0,11472407972.0,37253212126.0
