impl,n,threads,cpu_core/LLC-load-misses/,cpu_core/LLC-loads/,cpu_core/cache-misses/,cpu_core/cache-references/,cpu_core/cycles/,cpu_core/dTLB-load-misses/,cpu_core/dTLB-loads/,cpu_core/instructions/
fftw,16777216,1,19654057.0,44939644.0,60568851.0,137158936.0,3976905283.0,41413530.0,1542447514.0,5660108331.0
fftw,16777216,16,286941352.0,371063227.0,681596619.0,888488757.0,71957603867.0,320952880.0,11055369601.0,35892503446.0
fftw,16777216,2,45546980.0,88827867.0,106837310.0,209437492.0,7578200959.0,81821020.0,2897864152.0,9964777472.0
fftw,16777216,4,99844357.0,175542508.0,210834735.0,363908252.0,16237035500.0,160922252.0,5610752593.0,18580837834.0
fftw,16777216,8,234709763.0,349866595.0,408471106.0,617697126.0,35484858160.0,313411114.0,11032995020.0,35799691115.0
