impl,n,threads,cpu_atom/LLC-load-misses/,cpu_atom/LLC-loads/,cpu_atom/cache-misses/,cpu_atom/cache-references/,cpu_atom/cycles/,cpu_atom/dTLB-load-misses/,cpu_atom/dTLB-loads/,cpu_atom/instructions/,cpu_core/LLC-load-misses/,cpu_core/LLC-loads/,cpu_core/cache-misses/,cpu_core/cache-references/,cpu_core/cycles/,cpu_core/dTLB-load-misses/,cpu_core/dTLB-loads/,cpu_core/instructions/
ours,1048576,8,0.0,38381.0,187510.0,5335635.0,3573498012.0,3302.0,2332461315.0,7237244656.0,1009428.0,6525067.0,15243945.0,185901910.0,30201867956.0,345146.0,33868871647.0,104071558664.0
ours,262144,1,,,,,,,,,16857.0,929564.0,466720.0,54201372.0,5415324832.0,33367.0,7541464473.0,23128144084.0
ours,262144,16,0.0,1877448.0,133156.0,57802735.0,26037895816.0,69193.0,15570687992.0,48036649056.0,2924.0,2532663.0,270328.0,32641299.0,36543981832.0,12899.0,16746848627.0,52873513573.0
ours,262144,2,0.0,2030659.0,23835071.0,36615631.0,4437589056.0,864345.0,1747181139.0,7950181817.0,18301.0,2493905.0,440839.0,84017626.0,11144655474.0,33384.0,15090708641.0,46259285170.0
ours,262144,24,0.0,478179.0,16532.0,38078398.0,40734313349.0,5487.0,22729186591.0,73700814904.0,15072.0,9413627.0,520019.0,178755117.0,90071296999.0,163049.0,41720819946.0,133737464592.0
ours,262144,4,0.0,64806.0,45677.0,2803308.0,4926489225.0,22463.0,3510389285.0,10868710112.0,10948.0,5186657.0,486485.0,101201907.0,23927385207.0,78693.0,30355878814.0,93943651393.0
ours,262144,8,3940.0,246964.0,2156022.0,11260227.0,3279953296.0,116269.0,2135551063.0,6421756065.0,12049.0,6399756.0,222521.0,98640310.0,26888788085.0,75086.0,30549928993.0,94592594383.0
ours,65536,1,,,,,,,,,5773.0,483350.0,110943.0,9541586.0,4770251989.0,4029.0,6715444295.0,20562654625.0
ours,65536,16,0.0,1381705.0,33744.0,34987120.0,24364587291.0,6680.0,14288065134.0,46153128766.0,5457.0,4630600.0,106145.0,36084281.0,34185851401.0,9502.0,15280197538.0,50708215303.0
ours,65536,2,0.0,244727.0,337380.0,3296679.0,1960408999.0,119664.0,1460870139.0,4293369596.0,7428.0,1742650.0,125862.0,24948966.0,10358512003.0,6744.0,13728147220.0,43769004652.0
ours,65536,24,0.0,2304268.0,22900.0,71183408.0,94718453015.0,12960.0,29243733277.0,100341632374.0,10120.0,23645820.0,231243.0,207930304.0,189318932589.0,33738.0,51917797300.0,171724307461.0
ours,65536,4,0.0,780460.0,113545.0,7580940.0,7001571656.0,86090.0,4801577807.0,14247945839.0,4998.0,4953287.0,143385.0,67362266.0,22429237823.0,10408.0,27731416332.0,90141747322.0
ours,65536,8,408.0,834424.0,696307.0,9233920.0,4876938458.0,41674.0,3223160240.0,9735336495.0,1732.0,8097282.0,27137.0,74234960.0,28017880121.0,6124.0,28197770726.0,91876165479.0
