impl,n,threads,inplace,plan,seed,iters,sec,sec_per_iter,gflops,plan_sec,checksum,rel_l2,max_abs
fftw,16777216,8,0,estimate,1,1,0.238458972,2.384589720e-01,8.442819,0.003083552,8387412.208752,nan,nan
a1,16777216,8,0,estimate,1,1,0.104371980,1.043719800e-01,19.289333,0.010068802,8388536.335599
fftw,67108864,8,0,estimate,1,1,1.498209286,1.498209286e+00,5.823053,0.004093070,33549102.766310,nan,nan
a1,67108864,8,0,estimate,1,1,0.437327904,4.373279040e-01,19.948767,0.037733860,33547757.980809
