1253633179,,cpu_atom/cycles/,4993007,1.00,,
1575323765,,cpu_core/cycles/,300971456,97.00,,
1921654667,,cpu_atom/instructions/,5991241,1.00,1.53,insn per cycle
5284418160,,cpu_core/instructions/,300971456,97.00,3.35,insn per cycle
11058300,,cpu_atom/cache-references/,5992985,1.00,,
96939833,,cpu_core/cache-references/,300971456,97.00,,
9243785,,cpu_atom/cache-misses/,5906948,1.00,83.59,of all cache refs
19552708,,cpu_core/cache-misses/,300971456,97.00,20.17,of all cache refs
191918738,,cpu_atom/dTLB-loads/,6076655,1.00,,
1456606211,,cpu_core/dTLB-loads/,300971456,97.00,,
334355,,cpu_atom/dTLB-load-misses/,5992461,1.00,0.17,of all dTLB cache accesses
4653081,,cpu_core/dTLB-load-misses/,300971456,97.00,0.32,of all dTLB cache accesses
422815,,cpu_atom/LLC-loads/,6985744,2.00,,
11628982,,cpu_core/LLC-loads/,300971456,97.00,,
0,,cpu_atom/LLC-load-misses/,6005052,1.00,,
1507974,,cpu_core/LLC-load-misses/,300971456,97.00,12.97,of all LL-cache accesses
